request_id,user_id,description,matched_category_id,status,created_at
1,1,Water dripping under my kitchen sink and the cabinet floor is damp. Started about 2 days ago.,1,booked,2026-04-10 08:30:00
2,1,Outlet not working in the living room. Other outlets on the same wall seem fine.,2,matched,2026-04-09 14:00:00
3,1,Window frame weatherstripping is falling off and I can feel a draft.,4,closed,2026-03-30 10:00:00
4,1,Shower drain is draining very slowly. Tried plunging but it did not help.,1,closed,2026-03-20 09:15:00
5,8,My AC runs all day but the house never cools down below 78 degrees.,3,open,2026-04-11 11:00:00
6,9,Ants are all over my kitchen counters especially near the window.,7,matched,2026-04-10 16:45:00
7,10,The washing machine stopped spinning mid-cycle. It fills with water but just sits there.,5,open,2026-04-11 09:00:00
8,11,There is a water stain on the ceiling of my living room directly under the upstairs bathroom.,1,matched,2026-04-08 13:30:00
9,12,Breaker trips every time I plug in the microwave in the kitchen.,2,open,2026-04-11 10:15:00
10,13,Need two ceiling fans installed in the bedrooms. Existing wiring is already in place.,2,matched,2026-04-07 15:00:00
11,14,Roof is leaking near the chimney after last weeks rain. There is a brown stain on the ceiling.,6,open,2026-04-11 08:00:00
12,8,Kitchen faucet handle is loose and drips constantly even when fully closed.,1,open,2026-04-11 12:30:00
